Title,Authors,Publication Date,Publisher,isbn,Languages,Waiting Peoples
"Vendre Ses Créations en Ligne: Le Guide de l'Artisan pour Vendre sur Etsy, Amazon, Facebook, Instagram, Pinterest, eBay, Shopify, et Plus Encore",James Dillehay,2021,empty,9798521157310,french,1
Australia's Secret Army,Michael Veitch,2023,empty,0733648479,french,1
The Art of Growing a Beard,Marvin Grosswirth,2014,Courier Corporation,9780486783130,french,1
One Thousand Beards,Allan Peterkin,2001,arsenal pulp press,9781551521077,english,1
Communication Assertive,Gérard Blanc,2021,empty,9798731121903,french,1
Comment Fixer les Prix pour de l'Artisanat ou Tout Autre Objet que Vous Fabriquez pour Vendre,James Dillehay,2022,empty,9798430901967,english,1
Lessons in Psychoanalysis,DE MASI,2022,empty,9781912691883,french,1
Ouvrir un gîte ou une chambre d'hôte,Christelle Capo-Chichi,2022,empty,9782759048564,french,1
Lessons in Psychoanalysis,DE MASI,2022,empty,1912691884,chinese,1
Le premier temple,Klaus Schmidt,2015,empty,9782271081605,french,1
SURDÉLIVRER: Créer Une Entreprise pour toute la Vie en Jouant le Jeu Long Terme du Marketing Direct,Brian Kurtz,2021,empty,9798706809423,chinese,1
"Créer, organiser, gérer un groupe de PME",Yves de La Villeguérin,2020,empty,9782757907733,dutch,1
La méthode française,"Antoine Martinez, Laurent Mareschal, Sébastien Offner",2020,empty,9791091285605,japanese,1
Fundamental Analysis for Beginners: Grow Your Investment Portfolio Like A Pro Using Financial Statements and Ratios of Any Business with Zero Investing Experience Required,A.Z Penn,2022,empty,1397988460031,hungarian,1
"COMMENT CRÉER UNE PETITE ENTREPRISE POUR LES DÉBUTANTS 2021: UN GUIDE SIMPLE ET FACILE POUR SE LANCER, SUIVRE LES ACHATS DE VOS CLIENTS, ET BIEN PLUS ENCORE",Anthony Hunk,2022,empty,9798432013545,italian,1
Investing for Teens: 7 Step System of Beginner’s Stock Market Secrets for Teenagers to Achieve Financial Freedom by Age 21,J.P. Clarke,2022,empty,9798529455791,chinese,1
Géopolitique,Tim Marshall,2021,empty,9782092492383,french,1
100% Rye,Shannon Stonger,2015,CreateSpace,9781507771617,English,1
Petite histoire de France de Vercingétorix à nos jours,Jacques Bainville,2021,empty,9782915656244,English,1
Histoire de France,Jacques Bainville,2021,empty,9798539770815,English,1
艺术与启蒙,范昀,2013,empty,9787308122207,English,1
Ce qu'était un roi de France,Frantz Funck-Brentano,2020,Bibliotheque Nationale de France,9782367220307,English,1
Philosophie de la royauté,Yves-Marie Adeline,2015,empty,9782372710046,English,1
追寻真诚,范昀,2013,empty,9787208115255,English,1
The Many Meanings of Play,"Albert J. Solnit, Donald J. Cohen, Peter B. Neubauer",1993,empty,0300054386,English,1
An Introduction to Agile Data Engineering Using Data Vault 2. 0,Kent Graziano,2015,empty,1796584932,English,1
Louis XX,Daniel de Montplaisir,2018,empty,9782372540759,English,1
情感与正义：玛莎·努斯鲍姆的审美伦理世界 ,范昀,2022,empty,9787308228947,English,1
La révolution chrétienne,"Michel Viot, Guillaume de Tanoüarn",2012,empty,9782915988581,English,1
L'heure du royaume de France est-elle venue ?,Michel Viot,2018,empty,9782372710978,English,1
"Mort, Tome 0 : Le premier qui meurt à la fin",Adam Silvera,2022,empty,9782221265581,English,1
批判的限度 ,范昀,2022,empty,9787308228299,English,1
新日本语能力考试N5语法练习篇,"刘文照, 海老原博",2010,empty,9787562825227,English,1
Patchers of the Code,Cb Archer,2017,CB Archer,0994773722,English,1
Fighters of the Code,Cb Archer,2016,CB Archer,0994773714,English,1
De patroondenkers,Simon Baron Cohen,2022,empty,9789057125669,English,1
日本語能力試験完全模試 N5,"渡邉亜子, 青木幸子, 高橋尚子, 藤田朋世, 黒江理恵",2013,empty,4863921411,English,1
瞬撮アクションポーズ,Rio Sasaki,2017,empty,9784768309216,English,1
The Hiker,M. J. Ford,2021,Avon Books,9780008453350,English,1
Street ​Kitchen – A Nagy Sütiskönyv,Szilágyi Nóra,2019,empty,9786150060248,English,1
The First Advent in Palestine,Kelley Nikondeha,2022,Augsburg Fortress Publishers,9781506474793,English,1
L'anno in cui tutto è cambiato,LAURA MACALUSO,2021,empty,9798785411128,English,1
No hay bisontes en los valles de amapolas,María Jesús Puchalt,2022,empty,9788418552670,English,1
Photoshop CC wang zhan UI she ji quan cheng jie mi,赵中华,2019,empty,9787302526865,English,1
RTI,Kama Einhorn,2011,Scholastic Teaching Resources,9780545236966,English,1
9787302612285-Photoshop平面设计从新手到高手（第2版)(微课视频版）（从新手到高手）,姜旬恂，毛彤，王卓,2022,empty,9787302612285,English,1
Comment analyser les personnes,Robert Mercier,2020,empty,9798577362270,English,1
"How to Prevent Reading Difficulties, Grades PreK-3",Mark Weakland,2021,Corwin Press,9781071844052,English,1
回到未来的中国美学,高建平,2019,empty,7546166810,English,1
回到未来的中国美学,高建平,2019,empty,9787546166810,English,1
人人都爱PS——中文版Photoshop 2022技术教程（实例版 第2版）,人人都爱PS——中文版Photoshop 2022技术教程（实例版 第2版）,2022,empty,9787522607122,chinese,1
Pour en finir avec la colonisation,Bernard Lugan,2006,Editions du Rocher,9782268060200,french,1
Emergency General Surgery in Geriatrics,"Rifat Latifi, Fausto Catena, Federico Coccolini",2021,Springer Nature,9783030622152,chinese,1
Extra Practice for Struggling Readers: High-Frequency Words,Linda Ward Beech,2010,Teaching Resources,9780545124102,italian,1
Psychologie Humaine,Robert Mercier,2021,empty,9798597569840,italian,1
Week-by-week Phonics and Word Study,Wiley Blevins,2011,Scholastic Teaching Resources,9780439465892,dutch,1
Domination Mentale,Robert Mercier,2022,empty,9798403699730,chinese,1
Extra Practice for Struggling Readers: Phonics,Linda Ward Beech,2010,Teaching Resources,9780545124096,spanish,1
Photoshop 2022从入门到精通（微视频版）,徐珊珊，曹凯，宋扬,2022,empty,9787302614012,japanese,1
Orton Gillingham Decodable Readers,Rebecca T. Wilkerson,2022,empty,9798470794826,english,1
Proficiency in Reading Comprehension Simplifying the 'Passage' for you,Ajay Singh,2018,Arihant Publications India limited,9312145746,english,1
A Consumer's Guide to Understanding Qeeg Brain Mapping and Neurofeedback Training,Robert E. Longo,2018,empty,9781532047312,italian,1
L'Incroyable Pouvoir de l'amour,Stéphanie Brillant,2022,empty,2330160291,English,1
雨傘默默,Romain Gary,2013,empty,9789865896294,English,1
Le scienze della terra,Alfonso Bosellini,2021,empty,9788808503251,English,1
"The American Psychiatric Association Publishing Textbook of Personality Disorders, Third Edition","Andrew E. Skodol, M.D., John M. Oldham, M.D., M.S.",2018,American Psychiatric Pub,161537339X,English,1
Sebastian Smee on the Inner Life in the Digital Age,Sebastian Smee,2022,Black Incorporated,9781760640712,English,1
Storie di streghe ,AA.VV.,2020,empty,9798354632169,English,1
IMAGINED SPACES,KIRSTY GUNN,2017,empty,9780995512344,English,1
What They Didn't Teach You in Art School,"Rosalind Davis, Annabel Tilley",2021,Ilex Press,9781781572962,English,1
Mensenkennis voor beginners,Timon krause,2016,empty,9789401477277,English,1
